	Name	Notes	FullAddress	City	Province	PostalCode	lat	long
135	Écocentre Normandin		1177 rue Lydoric Doucet	Normandin	Quebec	G8M 3Y2	48.8665929	-72.2420587
136	Centre de services d'Aylmer		115 rue Principale	Gatineau	Quebec	J9H 3M2	 None	 None
137	Écocentre Carrière		860 boul. de la Carrière	Gatineau	Quebec	J8Y 6S6	 None	 None
138	Écocentre Louiseville		760 av. Deveault	Louiseville	Quebec	J5V 3C2	 None	 None
139	Écocentre de Champlain		295 rte Sainte-Marie	Champlain	Quebec	G0X 1C0	 None	 None
140	Écocentre Saint-Étienne-des-Grés		440 boul. la Gabelle	Saint-Étienne-des-Grès	Quebec	G0X 2P0	46.4777056	-72.3247178
141	Écocentre Granby		1080 rue André-Liné	Granby	Quebec	J2J 1J9	 None	 None
142	Écocentre Saint-Patrice-de-Beaurivage		rue du Parc	Saint-Patrice-de-Beaurivage	Quebec	G0S 1B0	45.3830446	-72.7761101
143	Hôtel de ville de Saint-Pamphile		3 rue Elgin Sud	Saint-Pamphile	Quebec	G0R 3X0	46.4072459	-71.2421429
144	Garage municipal de L'Islet		451 rue Nilus-Leclerc	L'Islet	Quebec	G0R 1X0	46.9605477	-69.7776528
145	Écocentre de Matane		330 rue Yves-Bérubé	Matane	Quebec	G4W 3M6	 None	 None
146	Écocentre Saint-Raymond		590 ch. Bourg-Louis	Saint-Raymond	Quebec	G3L 4G2	48.8253534	-67.5852737
147	Écocentre St-Alban		180 rte 354	Saint-Alban	Quebec	G0A 3B0	46.876465	-71.789803
148	Garage municipal de St-Césaire		110 rte 112	Saint-Césaire	Quebec	J0L 1P0	46.7165816	-72.0785725
149	Garage municipal de St-Mathias		25 rue du Centre Sportif	Saint-Mathias-sur-Richelieu	Quebec	J3L 6C6	45.4213488	-73.0354507
150	Ressourcerie Bellechasse		491 rte 277	Saint-Léon-de-Standon	Quebec	G0R 4L0	45.4865334	-73.2593771
151	Ressourcerie du Granit		2969 rue Laval	Nantes	Quebec	G6B 1A2	46.4685273	-70.6327235
152	Ressourcerie des Frontières		177 de la rue Cutting	Coaticook	Quebec	J1A 2G2	 None	 None
153	Bureau municipal Saint-Albert		1245 rue Principale	Saint-Albert	Quebec	J0A 1E0	 None	 None
154	Écocentre régional de la Nouvelle-Beauce; Sainte-Marie		1690 boul. Vachon Nord	Sainte-Marie	Quebec	G6E 3E9	46.0009667	-72.0886551
155	Écocentre régional de la Nouvelle-Beauce; Frampton		10 rte Boulet	Frampton	Quebec	G0R 1M0	46.4697874	-71.0458973
156	Écocentre de Saint-Pascal		236 av. du Parc	Saint-Pascal	Quebec	G0L 3Y0	46.3711096	-70.7666121
157	Écocentre des îles-de-la-Madeleine		1300 rte 199	Les îles-de-la-Madeleine	Quebec	G4T 5B5	47.5285669	-69.8264491
158	Écocentre Secteur Témiscouata-sur-le-Lac- quartier Cabano		53 rue 232 Est	Témiscouata-sur-le-Lac	Quebec	G0L 1E0	47.445707	-61.748915
159	Écocentre Longue-Pointe-de-Mingan		800 ch. du Roi	Longue-Pointe-de-Mingan	Quebec	G0G 1V0	47.6939724	-68.9069531
160	Écocentre du Secteur Squatec		90 rue 295 Nord	Saint-Michel-du-Squatec	Quebec	G5T 1V7	50.26569	-64.1462606
161	Écocentre Secteur Pohénégamook		480 rue du Parc industriel	Pohénégamook	Quebec	G0L 1J0	47.8813475	-68.7199314
162	Écocentre Secteur Dégelis		297 rte 295	Dégelis	Quebec	G5T 1V7	47.4592321	-69.1674489
163	Écocentre Saint-Ignace-de-Loyola		25 rue Laforest	Saint-Ignace-de-Loyola	Quebec	J0K 2P0	47.5892267	-68.8088156
164	Garage municipal Sainte-Geneviève-de-Berthier		400 rang de la Rivière Bayonne Sud	Sainte-Geneviève-de-Berthier	Quebec	J0K 1A0	46.0659817	-73.1310445
165	Écoparc de la MRC de L'Assomption		134 ch. des Commissaires	L'Assomption	Quebec	J5W 3P3	46.090373	-73.2048282
166	LET de Saint-Alphonse		222  5e Rang Est	Saint-Alphonse	Quebec	G0C 2V0	45.8324195	-73.4450913
167	Écocentre de La Vallée-de-la-Gatineau		161 rue du Parc Industriel	Maniwaki	Quebec	J9E 3P3	48.158494	-65.660808
168	Écocentre de la Rivière-Rouge	Ouvert du lundi au vendredi 8 h 30 à 17 h	688 ch. du Parc Industriel	Rivière-Rouge	Quebec	J0T 1T0	46.3935164	-75.9883038
169	Écocentre de Saint-Siméon		368 rue Bergeron	Saint-Siméon	Quebec	G0T 1X0	46.3219371	-74.8001066
